Day,cancelledpercent_0,distance_0,cancelledpercent_1,distance_1
100,0.000000,3267.393333,0.000000,714.029412
200,3.296703,3843.180000,0.666667,656.590588
300,6.844106,3060.520000,1.501502,776.989412
400,11.240310,3187.806667,4.011461,863.897647
500,22.709163,2898.326667,4.966887,662.372941
600,25.968992,2704.306667,8.865248,648.252941
700,25.663717,2364.266667,7.058824,724.083529
800,35.573123,1746.300000,11.475410,793.263529
900,42.408377,1180.220000,8.843537,576.572941
1000,39.252336,1697.786667,11.594203,634.804706
1100,46.586345,1577.386667,9.841270,669.201176
1200,46.994536,1271.033333,11.301370,534.435294
1300,47.468354,1024.280000,17.537313,542.945882
1400,47.448980,1241.093333,17.600000,562.952941
1500,50.785340,1339.480000,20.774648,566.869412
1600,56.741573,1073.526667,18.287938,493.351765
1700,69.189189,657.753333,26.114650,520.610588
1800,58.750000,968.793333,30.864198,381.884706
1900,59.090909,929.260000,28.915663,417.572941
2000,77.380952,694.333333,30.894309,431.751765
